"id","longitude","latitude","elevation","title","place_description","sig","mag","mag_type","time","updated","effect","row_number","country_code","sig_class"
"us6000p6h7","-7.7534","-57.438","10.0","M 5.0 - east of the South Sandwich Islands","east of the South Sandwich Islands","385","5.0","mb","2024-11-20 04:03:44.685000","2024-11-20 04:37:25.040000","Minor damage","27","SH","Moderate"
"us7000nsbu","-14.9899","-12.7931","10.0","M 5.0 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","385","5.0","mb","2024-11-17 23:05:55.254000","2024-11-17 23:23:46.040000","Minor damage","157","SH","Moderate"
"us7000nsbw","-14.7059","-12.826","10.0","M 5.1 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","400","5.1","mb","2024-11-17 23:16:14.125000","2024-11-17 23:34:46.040000","Minor damage","158","SH","Moderate"
"usd00125in","71.7909","39.2956","10.0","M 5.4 - 23 km ENE of Karakenja, Tajikistan","23 km ENE of Karakenja, Tajikistan","449","5.4","mb","2024-11-23 08:33:03.407000","2024-11-23 10:54:50.742000","Minor damage","64","TJ","Moderate"
"us6000p78e","145.6761","-2.8464","10.0","M 5.1 - 198 km WSW of Lorengau, Papua New Guinea","198 km WSW of Lorengau, Papua New Guinea","400","5.1","mb","2024-11-23 10:25:35.435000","2024-11-23 10:42:59.040000","Minor damage","72","PG","Moderate"
"us6000p78j","145.7107","-2.8095","10.0","M 5.2 - 193 km WSW of Lorengau, Papua New Guinea","193 km WSW of Lorengau, Papua New Guinea","416","5.2","mb","2024-11-23 10:47:50.871000","2024-11-23 11:04:04.040000","Minor damage","75","PG","Moderate"
"us6000p7c2","158.3179","-55.4557","10.0","M 5.1 - Macquarie Island region","Macquarie Island region","400","5.1","mb","2024-11-23 23:55:55.293000","2024-11-24 00:12:00.040000","Minor damage","201","NZ","Moderate"
"us7000ns3m","-13.2696","-15.2823","10.0","M 5.2 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","416","5.2","mb","2024-11-16 02:17:09.474000","2024-11-16 03:06:18.040000","Minor damage","7","SH","Moderate"
"us7000nsc0","-14.4618","-12.7645","10.0","M 5.0 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","385","5.0","mb","2024-11-18 00:00:44.709000","2024-11-18 15:26:17.714000","Minor damage","1","SH","Moderate"
"us7000nsce","147.0544","15.039","10.0","M 5.1 - 141 km E of Saipan, Northern Mariana Islands","141 km E of Saipan, Northern Mariana Islands","400","5.1","mb","2024-11-18 02:18:50.212000","2024-11-19 02:28:51.882000","Minor damage","19","MP","Moderate"
"us7000nscv","55.1765","-34.4968","10.0","M 5.0 - Southwest Indian Ridge","Southwest Indian Ridge","385","5.0","mb","2024-11-18 04:57:11.147000","2024-11-18 05:19:45.040000","Minor damage","49","MG","Moderate"
"us7000nv8n","78.3731","-35.5199","10.0","M 5.0 - Mid-Indian Ridge","Mid-Indian Ridge","385","5.0","mb","2024-12-01 06:12:22.873000","2024-12-01 06:32:52.040000","Minor damage","70","TF","Moderate"
"us6000p7cn","-114.9926","-23.3857","10.0","M 5.0 - Easter Island region","Easter Island region","385","5.0","mb","2024-11-24 01:08:03.465000","2024-11-24 01:37:21.040000","Minor damage","12","CL","Moderate"
"us6000p7ec","34.751","-11.2678","10.0","M 5.0 - 2 km NW of Mbamba Bay, Tanzania","2 km NW of Mbamba Bay, Tanzania","385","5.0","mb","2024-11-24 07:58:36.396000","2024-11-25 06:20:27.619000","Minor damage","75","TZ","Moderate"
"us6000p6z5","19.6611","-53.0777","10.0","M 5.0 - southwest of Africa","southwest of Africa","385","5.0","mb","2024-11-22 11:25:19.811000","2024-11-22 12:05:21.040000","Minor damage","111","ZA","Moderate"
"us7000nry3","-172.9768","-19.3237","10.0","M 5.4 - 129 km SE of Neiafu, Tonga","129 km SE of Neiafu, Tonga","449","5.4","mb","2024-11-15 08:41:47.294000","2024-11-15 10:44:50.878000","Minor damage","80","TO","Moderate"
"us7000nryk","170.239","-23.5887","10.0","M 5.0 - 298 km ESE of Vao, New Caledonia","298 km ESE of Vao, New Caledonia","385","5.0","mb","2024-11-15 11:38:19.511000","2024-11-15 13:13:01.040000","Minor damage","111","NC","Moderate"
"us7000nu7t","129.3536","-2.9292","10.0","M 5.1 - 59 km NE of Masohi, Indonesia","59 km NE of Masohi, Indonesia","400","5.1","mb","2024-11-26 07:55:04.656000","2024-11-26 08:12:56.040000","Minor damage","78","ID","Moderate"
"us7000nvcm","146.8706","13.121","10.0","M 5.0 - 219 km ESE of Yigo Village, Guam","219 km ESE of Yigo Village, Guam","385","5.0","mb","2024-12-02 01:01:11.971000","2024-12-03 01:11:24.105000","Minor damage","15","GU","Moderate"
